workload,description,velocity_ops_per_sec,temporal_ops_per_sec,throughput_delta_pct,velocity_p50_us,temporal_p50_us,p50_delta_pct,velocity_p99_us,temporal_p99_us,p99_delta_pct,velocity_p999_us,temporal_p999_us,velocity_memory_mb,temporal_memory_mb,memory_delta_pct,velocity_error_rate,temporal_error_rate,verdict
simple_workflow,Start → execute 10 steps → complete. Measures basic throughput and latency.,0.33,7722.76,-100.00,17770,866,+1951.96,43562,1655,+2532.15,44434,1666,6.43,6.52,-1.44,100.0000,0.0000,Temporal faster
signal_storm,Start workflow → send 100 signals → complete. Measures signal throughput.,3.33,2970.77,-99.89,2844,331,+759.21,4322,508,+750.79,5357,533,6.56,6.56,+0.00,0.9901,0.0000,Temporal faster
query_burst,Start workflow → send 100 queries → complete. Measures query throughput.,3.36,3101.35,-99.89,285,298,-4.36,571,671,-14.90,590,759,6.56,6.57,-0.12,0.9901,0.0000,Temporal faster
high_step,Single workflow with 10K steps. Measures step execution overhead.,0.03,979.52,-100.00,3132,331,+846.22,3132,331,+846.22,3132,331,6.63,6.69,-0.93,0.0000,100.0000,Temporal faster
concurrent_1k,1000 concurrent workflows. Measures concurrent scheduling overhead.,70.47,6275.98,-98.88,152187,4112,+3601.05,370165,7580,+4783.44,372340,7623,9.00,9.00,+0.00,0.0000,100.0000,Temporal faster
child_workflows,"Parent spawns 10 children, waits for all. Measures hierarchy overhead.",76.35,3371.54,-97.74,13448,1128,+1092.20,42643,1612,+2545.35,42643,1612,9.07,9.07,+0.00,0.0000,100.0000,Temporal faster
saga_pattern,5-step saga with compensation. Measures transaction overhead.,0.33,3409.69,-99.99,12367,1148,+977.26,44041,1360,+3138.31,44041,1360,9.07,9.07,+0.00,100.0000,100.0000,Temporal faster
timer_workflow,Workflow with timer (sleep). Measures timer scheduling accuracy.,76.79,3510.76,-97.81,19660,945,+1980.42,42836,962,+4352.81,42836,962,9.07,9.07,+0.00,0.0000,100.0000,Temporal faster
search_attributes,Start with attributes → query by attributes. Measures visibility performance.,0.67,8259.38,-99.99,13765,876,+1471.35,41637,1854,+2145.79,41939,2023,9.28,9.29,-0.17,50.0000,0.0000,Temporal faster
signal_query_mix,Interleaved signals and queries. Measures mixed workload performance.,3.35,2965.06,-99.89,3935,344,+1043.90,3935,344,+1043.90,3935,344,9.30,9.30,+0.00,0.9901,0.0000,Temporal faster
batch_operations,Batch start/terminate/query 5000 workflows. Measures admin throughput.,78.59,3618.39,-97.83,14252,866,+1545.73,43807,1920,+2181.61,47241,2156,9.30,9.30,+0.00,0.0000,100.0000,Temporal faster
payload_1kb,1KB payloads. Measures serialization overhead at typical size.,78.21,3460.11,-97.74,12998,987,+1216.92,45388,1774,+2458.51,45809,2011,9.30,9.30,+0.00,0.0000,100.0000,Temporal faster
payload_1mb,1MB payloads. Measures large payload handling.,69.05,3091.15,-97.77,15123,1110,+1262.43,46989,1404,+3246.79,46989,1404,9.30,9.30,+0.00,0.0000,100.0000,Temporal faster
namespace_isolation,Workflows across 5 namespaces. Measures isolation overhead.,70.69,3646.48,-98.06,15966,986,+1519.27,49929,1638,+2948.17,49929,1638,9.30,9.30,+0.00,0.0000,100.0000,Temporal faster
throughput_ceiling,Maximum sustainable throughput. Pushes engine to its limits.,78.78,6530.74,-98.79,1727849,33259,+5095.13,3836073,67821,+5556.17,4046177,82765,31.72,32.00,-0.87,0.0000,100.0000,Temporal faster
memory_scaling,"Measure memory at 1K, 10K, 100K active workflows.",80.59,3563.32,-97.74,13727,906,+1415.12,43980,1917,+2194.21,52163,2939,31.20,31.20,+0.00,0.0000,100.0000,Temporal faster
cold_start,First workflow after engine startup. Measures cold start latency.,0.03,1236.56,-100.00,3681,433,+750.12,3681,433,+750.12,3681,433,31.25,31.25,+0.00,100.0000,0.0000,Temporal faster
crash_recovery,Start workflows → simulate crash → restart → verify recovery.,70.60,2718.75,-97.40,13805,1446,+854.70,40725,1569,+2495.60,40725,1569,31.25,31.25,+0.00,0.0000,100.0000,Temporal faster
replay_amplification,Signal a workflow 1000 times. Measures how signal latency scales with history length. Event-sourced engines (Temporal) replay the full event log on each signal — O(n²) total. Velocity uses direct mutation — O(n) total. The curve should be flat for Velocity and steeply rising for Temporal.,30.76,1171.05,-97.37,0,0,+0.00,0,0,+0.00,0,0,31.25,31.25,+0.00,0.0000,0.0000,Temporal faster
wal_durability,High-throughput workflow creation with WAL fsync enabled. Measures how much throughput the durability guarantee costs. Velocity's group commit amortizes fsync across many workflows.,1.65,9501.04,-99.98,86569,3569,+2325.58,215747,5736,+3661.28,233263,7528,31.27,31.27,+0.00,100.0000,0.0000,Temporal faster
tail_latency_sustained,Sustained load at high concurrency for 2 minutes. Measures p99/p999 tail latency stability. Shows whether the engine maintains consistent latency or degrades under prolonged pressure.,3.28,11299.78,-99.97,217485,5101,+4163.58,457502,10195,+4387.51,457586,13142,30.64,34.33,-10.73,100.0000,0.0000,Temporal faster
